Año,Cuatrimestre,Materia,Comision,Horario,Profesores,Inscriptos
2010,Primer Cuat.,94.42 - Comunicación Estratégica,A,Lunes 19:00 - 22:00 Aula externa: 116,"['Presas Neira', ' Maria Esperanza\nMantegazza', ' Graciela Alejandra\nMisson', ' Vanesa Soledad']",9 / 25
2010,Primer Cuat.,22.64 - Comunicaciones Digitales,K,"Martes 16:00 - 19:00 Aula externa: 13
Miércoles 16:00 - 19:00 Aula externa: 13","['Ganzabal', ' Julian Maria\nHirchoren', ' Gustavo Abraham']",12 / Ilimitado
2010,Primer Cuat.,32.54 - Construcción Naval,N,"Lunes 18:30 - 21:30 Aula externa: 104
Jueves 18:30 - 21:30 Aula externa: 104","['Fiorentino', ' Norberto Eduardo']",1 / Ilimitado
2010,Primer Cuat.,32.58 - Construccion Naval Liviana,N,Viernes 18:30 - 22:00 Aula externa: 117,"['Minuet', ' Lauro']",1 / Ilimitado
2010,Primer Cuat.,31.52 - Construcciones Industriales,A,"Martes 15:00 - 17:00 Aula externa: 132
Miércoles 15:00 - 19:00 Aula externa: 132","['Ciatti', ' Norma Cristina\nDe Piero', ' Maria Ines\nCaprioli', ' Eduardo Avelino']",43 / 35
2010,Primer Cuat.,31.52 - Construcciones Industriales,B,Lunes 08:00 - 08:00 Aula externa: NO SE DICTA,[''],1 / 35
2010,Primer Cuat.,81.11 - Contabilidad Gerencial,A,"Martes 18:00 - 21:00 Aula externa: 135
Jueves 14:00 - 17:00 Aula externa: 154","['Nishimoto', ' Diego\nComin', ' Patricia Elena']",20 / 20
2010,Primer Cuat.,81.11 - Contabilidad Gerencial,B,"Lunes 14:00 - 17:00 Aula externa: 126
Martes 18:00 - 21:00 Aula externa: 135","['Amorrosta', ' Eva Paula\nComin', ' Patricia Elena']",17 / 20
2010,Primer Cuat.,22.93 - Control Automático,K,"Martes 15:00 - 19:00 Aula externa: 104
Jueves 16:00 - 18:00 Aula externa: 33","['Perrotto Seeber', ' Santiago\nGhersin', ' Alejandro Simon']",2 / Ilimitado
2010,Primer Cuat.,61.19 - Costos Industriales,A,Martes 19:00 - 22:00 Aula externa: 10,"['Piantanida', ' Horacio\nCrocci', ' Luis Carlos\nCoccolo', ' Pablo Bartolome\nIgarreta', ' Ramon Santiago\nPose', ' Eduardo Francisco']",26 / 35
